MIC,OPERATING MIC,OPRT/SGMT,ISO COUNTRY CODE (ISO 3166),STATUS
BAIK,BAIK,OPRT,GB,EXPIRED
BAIP,BAIP,OPRT,HK,ACTIVE
BAJD,BAJD,OPRT,JP,ACTIVE
BAJM,XBAB,SGMT,BB,ACTIVE
BALT,BALT,OPRT,GB,ACTIVE
BAML,BAML,OPRT,US,ACTIVE
BAMP,BAMP,OPRT,US,EXPIRED
BAMX,BAMX,OPRT,US,ACTIVE
BANA,BANA,OPRT,GB,ACTIVE
BAPA,BAPA,OPRT,GB,ACTIVE
BAPE,BAPE,OPRT,NL,ACTIVE
BAPX,BAPX,OPRT,LT,ACTIVE
BARD,BARX,SGMT,US,ACTIVE
BARK,BCRM,SGMT,GB,ACTIVE
BARL,BARX,SGMT,US,ACTIVE
BARO,BCRM,SGMT,GB,ACTIVE
BART,BCRM,SGMT,GB,ACTIVE
BARU,CCRM,SGMT,NL,ACTIVE
BARX,BARX,OPRT,US,ACTIVE
BASE,BASE,OPRT,HK,ACTIVE
BASI,BANA,SGMT,GB,ACTIVE
BASP,BAIP,SGMT,HK,ACTIVE
BASX,BASX,OPRT,JP,ACTIVE
BATD,BCXE,SGMT,GB,ACTIVE
BATE,BCXE,SGMT,GB,ACTIVE
BATF,BCXE,SGMT,GB,ACTIVE
BATO,XCBO,SGMT,US,ACTIVE
BATP,BCXE,SGMT,GB,ACTIVE
BATS,XCBO,SGMT,US,ACTIVE
BATY,XCBO,SGMT,US,ACTIVE
BBIE,BBIE,OPRT,IE,ACTIVE
BBIS,BBIE,SGMT,IE,ACTIVE
BBLX,BBLX,OPRT,SG,ACTIVE
BBOK,BARX,SGMT,US,ACTIVE
BBSF,BBSF,OPRT,US,ACTIVE
BBSI,BPLC,SGMT,GB,ACTIVE
BBSN,BBSF,SGMT,US,ACTIVE
BBSX,BBSX,OPRT,GB,ACTIVE
BBVA,BBVA,OPRT,ES,ACTIVE
BBVI,BBVI,OPRT,VG,ACTIVE
BBVX,BBVX,OPRT,GB,ACTIVE
BCDX,BARX,SGMT,US,EXPIRED
BCEE,BCEE,OPRT,LU,ACTIVE
BCFS,BCFS,OPRT,AR,ACTIVE
BCMA,BCMA,OPRT,ES,ACTIVE
BCMM,BCMM,OPRT,BR,ACTIVE
BCRM,BCRM,OPRT,GB,ACTIVE
BCSC,BCSC,OPRT,CY,ACTIVE
BCSE,BCSE,OPRT,BY,ACTIVE
BCSI,BCSL,SGMT,GB,ACTIVE
BCSL,BCSL,OPRT,GB,ACTIVE
BCXE,BCXE,OPRT,GB,ACTIVE
BDEA,BLBB,SGMT,DE,ACTIVE
BDPL,BDPL,OPRT,LU,ACTIVE
BDSK,BDSK,OPRT,BG,ACTIVE
BEAM,BEAM,OPRT,BE,ACTIVE
BEBG,BEBG,OPRT,BG,ACTIVE
BEEX,BEEX,OPRT,TH,ACTIVE
BEIS,BEIS,OPRT,IT,ACTIVE
BELB,BELB,OPRT,BE,ACTIVE
BELF,BELB,SGMT,BE,ACTIVE
BERA,XBER,SGMT,DE,ACTIVE
BERB,XBER,SGMT,DE,ACTIVE
BERC,XBER,SGMT,DE,ACTIVE
BESA,BESA,OPRT,LU,ACTIVE
BETA,XBUD,SGMT,HU,ACTIVE
BETP,BETP,OPRT,JP,ACTIVE
BETX,BETX,OPRT,GB,ACTIVE
BEUD,CCXE,SGMT,NL,EXPIRED
BEUE,CCXE,SGMT,NL,EXPIRED
BEUF,CCXE,SGMT,NL,EXPIRED
BEUO,CCRM,SGMT,NL,ACTIVE
BEUP,CCXE,SGMT,NL,ACTIVE
BEUT,CCRM,SGMT,NL,ACTIVE
BFEX,BFEX,OPRT,BH,EXPIRED
BFPT,BFPT,OPRT,PT,ACTIVE
BFSD,BFSD,OPRT,SI,ACTIVE
BGCA,BGCA,OPRT,AU,ACTIVE
BGCB,BGCI,SGMT,GB,ACTIVE
BGCD,BGCF,SGMT,US,ACTIVE
BGCF,BGCF,OPRT,US,ACTIVE
BGCI,BGCI,OPRT,GB,ACTIVE
BGCJ,BGCJ,OPRT,JP,ACTIVE
BGCM,BGCI,SGMT,GB,EXPIRED
BGCO,BGCI,SGMT,GB,ACTIVE
BGEM,XMIL,SGMT,IT,ACTIVE
BGFI,BGSI,SGMT,DE,ACTIVE
BGFU,BGUK,SGMT,GB,ACTIVE
BGFX,BGSI,SGMT,DE,ACTIVE
BGHX,BGHX,OPRT,BG,ACTIVE
BGLU,BGLU,OPRT,LU,ACTIVE
BGSG,BGSG,OPRT,SG,ACTIVE
BGSI,BGSI,OPRT,DE,ACTIVE
BGUK,BGUK,OPRT,GB,ACTIVE
BHSF,BHSF,OPRT,US,ACTIVE
BHWA,BHWA,OPRT,PL,ACTIVE
BIDS,BIDS,OPRT,US,ACTIVE
BILT,BILT,OPRT,ZZ,ACTIVE
BILU,BILU,OPRT,LU,ACTIVE
BINV,BINV,OPRT,DE,ACTIVE
BISI,GSIB,SGMT,GB,ACTIVE
BIVA,BIVA,OPRT,MX,ACTIVE
BJSE,BJSE,OPRT,CN,ACTIVE
BKBF,BKBR,SGMT,BE,EXPIRED
BKBR,BKBR,OPRT,BE,ACTIVE
BKDM,BKDM,OPRT,IE,ACTIVE
BKKT,BKKT,OPRT,US,ACTIVE
BKLF,BKLN,SGMT,GB,EXPIRED
BKLN,BKLN,OPRT,GB,ACTIVE
BKSK,BKSK,OPRT,AT,ACTIVE
BLBB,BLBB,OPRT,DE,ACTIVE
BLBF,XBLB,SGMT,BA,ACTIVE
BLBS,BLBB,SGMT,DE,ACTIVE
BLEQ,BLBB,SGMT,DE,ACTIVE
BLEV,BLEV,OPRT,AU,ACTIVE
BLFX,BLBB,SGMT,DE,ACTIVE
BLIQ,BLBB,SGMT,DE,ACTIVE
BLKX,XINS,SGMT,US,ACTIVE
BLNK,CHEV,SGMT,GB,ACTIVE
BLOX,XIEL,SGMT,GB,ACTIVE
BLPX,BLPX,OPRT,BE,ACTIVE
BLTD,BLTD,OPRT,US,EXPIRED
BLTX,BALT,SGMT,GB,ACTIVE
BLUE,BLUE,OPRT,US,ACTIVE
BLUX,BLUX,OPRT,LU,ACTIVE
BLXA,BLXA,OPRT,AU,ACTIVE
BMCL,BMEX,SGMT,ES,ACTIVE
BMCM,BMCM,OPRT,GB,ACTIVE
BMEA,BMEX,SGMT,ES,ACTIVE
BMEX,BMEX,OPRT,ES,ACTIVE
BMFA,BMFX,SGMT,RO,EXPIRED
BMFM,BMFX,SGMT,RO,EXPIRED
BMFX,BMFX,OPRT,RO,EXPIRED
BMLB,BMLB,OPRT,GB,ACTIVE
BMLI,BMLI,OPRT,IE,ACTIVE
BMLS,BMLI,SGMT,IE,ACTIVE
BMLX,BMLX,OPRT,IE,EXPIRED
BMSI,BMLX,SGMT,IE,EXPIRED
BMTF,BMTF,OPRT,GB,ACTIVE
BMTS,BEAM,SGMT,BE,ACTIVE
BNCX,BNCX,OPRT,AE,ACTIVE
BNDD,TRWB,SGMT,US,ACTIVE
BNDS,BNDS,OPRT,US,ACTIVE
BNLD,BNLD,OPRT,IT,ACTIVE
BNPA,BNPA,OPRT,FR,ACTIVE
BNPC,BNPC,OPRT,US,ACTIVE
BNPF,BNPF,OPRT,BE,ACTIVE
BNPH,BNPH,OPRT,US,ACTIVE
BNPL,BNPL,OPRT,GB,ACTIVE
BNPP,BNPP,OPRT,PL,ACTIVE
BNPS,BNPS,OPRT,FR,ACTIVE
BNPX,BNPX,OPRT,JP,ACTIVE
BNSX,BNSX,OPRT,CA,ACTIVE
BNTW,XIEL,SGMT,GB,ACTIVE
BNYC,BNYC,OPRT,US,ACTIVE
BOAL,BANA,SGMT,GB,ACTIVE
BOAT,BOAT,OPRT,GB,ACTIVE
BOCF,BOCF,OPRT,DE,ACTIVE
BOFS,BOFS,OPRT,GB,ACTIVE
BOND,MTSO,SGMT,IT,EXPIRED
BOSC,BOSC,OPRT,GB,ACTIVE
BOSD,XNAS,SGMT,US,ACTIVE
BOSP,XWAR,SGMT,PL,ACTIVE
BOSS,BOSS,OPRT,US,ACTIVE
BOTC,BCXE,SGMT,GB,ACTIVE
BOTE,XBOT,SGMT,BW,ACTIVE
BOTV,XBOT,SGMT,BW,ACTIVE
BOVA,BOVA,OPRT,CL,ACTIVE
BOVM,BOVM,OPRT,BR,ACTIVE
BPAG,BPAG,OPRT,DE,EXPIRED
BPAS,BPAS,OPRT,IT,EXPIRED
BPKO,BPKO,OPRT,PL,ACTIVE
BPLC,BPLC,OPRT,GB,ACTIVE
BPOL,BPOL,OPRT,US,ACTIVE
BPSX,BPSX,OPRT,FR,ACTIVE
BPTE,BPTE,OPRT,SG,ACTIVE
BPXD,BPXX,SGMT,GB,ACTIVE
BPXR,BPXX,SGMT,GB,ACTIVE
BPXX,BPXX,OPRT,GB,ACTIVE
BRAE,ATLB,SGMT,GB,ACTIVE
BRDE,BRDE,OPRT,RO,ACTIVE
BRDL,BRDE,SGMT,RO,ACTIVE
BRDS,BRDE,SGMT,RO,ACTIVE
BREA,BREA,OPRT,IT,ACTIVE
BRED,BRED,OPRT,FR,ACTIVE
BRFQ,XIEL,SGMT,GB,ACTIVE
BRGA,BRGA,OPRT,GB,ACTIVE
BRIX,BRIX,OPRT,BR,ACTIVE
BRMF,XBRM,SGMT,RO,ACTIVE
BRNX,BRNX,OPRT,GB,ACTIVE
BSAB,BSAB,OPRT,ES,ACTIVE
BSEE,BSEE,OPRT,ES,ACTIVE
BSEX,BSEX,OPRT,AZ,ACTIVE
BSFX,BLBB,SGMT,DE,ACTIVE
BSGX,INCR,SGMT,US,ACTIVE
BSLB,BSLB,OPRT,GB,ACTIVE
BSME,XBOM,SGMT,IN,ACTIVE
BSPL,BSPL,OPRT,GB,ACTIVE
BSTX,BSTX,OPRT,US,ACTIVE
BTAM,BTAM,OPRT,NL,ACTIVE
BTBS,BTBS,OPRT,SG,ACTIVE
BTEA,BTEC,SGMT,US,ACTIVE
BTEC,BTEC,OPRT,US,ACTIVE
BTEE,BTEE,OPRT,GB,ACTIVE
BTEQ,BTEC,SGMT,US,ACTIVE
BTFE,BTFE,OPRT,NL,ACTIVE
BTLX,BTLX,OPRT,GB,ACTIVE
BTNL,BTNL,OPRT,US,ACTIVE
BTQE,BTAM,SGMT,NL,ACTIVE
BTQG,BTEE,SGMT,GB,ACTIVE
BTRL,BTRL,OPRT,RO,ACTIVE
BTSP,BTSP,OPRT,GB,ACTIVE
BTUN,XTUN,SGMT,TN,ACTIVE
BUKL,BUKL,OPRT,GB,ACTIVE
BULK,NORX,SGMT,NO,EXPIRED
BURG,XOSL,SGMT,NO,EXPIRED
BURM,XOSL,SGMT,NO,EXPIRED
BUSA,BUSA,OPRT,US,ACTIVE
