MIC,OPERATING MIC,OPRT/SGMT,ISO COUNTRY CODE (ISO 3166),STATUS
CXAQ,CHIA,SGMT,AU,EXPIRED
CXAR,CHIA,SGMT,AU,ACTIVE
CXAV,CHIA,SGMT,AU,ACTIVE
CXAW,CHIA,SGMT,AU,ACTIVE
CXOT,CBLP,SGMT,GB,ACTIVE
CXRT,CBLP,SGMT,GB,ACTIVE
D2XC,D2XG,SGMT,NL,ACTIVE
D2XG,D2XG,OPRT,NL,ACTIVE
DAIW,DAIW,OPRT,GB,ACTIVE
DAMP,DAMP,OPRT,DK,EXPIRED
DAMS,XAMS,SGMT,NL,ACTIVE
DAPA,DAPA,OPRT,DE,ACTIVE
DASE,DASE,OPRT,CZ,ACTIVE
DASH,DASH,OPRT,US,ACTIVE
DASI,DASI,OPRT,DK,ACTIVE
DAUK,DAUK,OPRT,GB,ACTIVE
DAVY,DAVY,OPRT,IE,ACTIVE
DBAB,DBAB,OPRT,US,ACTIVE
DBAG,DBAG,OPRT,DE,EXPIRED
DBAO,DBOX,SGMT,DE,ACTIVE
DBCR,DBIX,SGMT,GB,EXPIRED
DBCX,DBIX,SGMT,GB,EXPIRED
DBDC,DBIX,SGMT,GB,EXPIRED
DBDX,DBDX,OPRT,DE,ACTIVE
DBES,DBAG,SGMT,DE,EXPIRED
DBHK,DBHK,OPRT,HK,ACTIVE
DBIX,DBIX,OPRT,GB,EXPIRED
DBLN,DBAG,SGMT,DE,EXPIRED
DBLX,DBLX,OPRT,LU,ACTIVE
DBMO,DBAG,SGMT,DE,EXPIRED
DBOX,DBOX,OPRT,DE,ACTIVE
DBRU,XBRU,SGMT,BE,ACTIVE
DBSE,DBIX,SGMT,GB,EXPIRED
DBSX,DBSX,OPRT,US,EXPIRED
DBVX,TRDE,SGMT,GB,EXPIRED
DBXT,DBXT,OPRT,FR,ACTIVE
DCAS,DCAS,OPRT,MA,ACTIVE
DCSE,XCSE,SGMT,DK,ACTIVE
DCSX,DCSX,OPRT,CW,ACTIVE
DDTX,DDTX,OPRT,IT,ACTIVE
DDUB,XDUB,SGMT,IE,ACTIVE
DEAL,DEAL,OPRT,US,ACTIVE
DEKA,DEKA,OPRT,DE,ACTIVE
DEXE,DEXE,OPRT,AE,ACTIVE
DGCX,DGCX,OPRT,AE,ACTIVE
DHEL,XHEL,SGMT,FI,ACTIVE
DHLX,DHLX,OPRT,LU,ACTIVE
DICE,XICE,SGMT,IS,ACTIVE
DIFX,DIFX,OPRT,AE,ACTIVE
DKED,XSTO,SGMT,SE,ACTIVE
DKFI,XSTO,SGMT,SE,ACTIVE
DKOB,XSTO,SGMT,SE,ACTIVE
DKTC,DKTC,OPRT,DK,ACTIVE
DKWB,XSTO,SGMT,SE,ACTIVE
DLIS,XLIS,SGMT,PT,ACTIVE
DMAD,BMEX,SGMT,ES,ACTIVE
DMIL,XMIL,SGMT,IT,ACTIVE
DNDK,XCSE,SGMT,DK,ACTIVE
DNFI,XHEL,SGMT,FI,ACTIVE
DNIS,XICE,SGMT,IS,ACTIVE
DNSE,XSTO,SGMT,SE,ACTIVE
DOSE,XSTO,SGMT,SE,ACTIVE
DOSL,XOSL,SGMT,NO,ACTIVE
DOTS,DOTS,OPRT,CH,ACTIVE
DOWE,DOWM,SGMT,ES,EXPIRED
DOWG,DOWG,OPRT,GB,ACTIVE
DOWM,DOWM,OPRT,ES,EXPIRED
DPAR,XPAR,SGMT,FR,ACTIVE
DRCT,DRCT,OPRT,JP,ACTIVE
DRSP,DRSP,OPRT,GB,ACTIVE
DSMD,DSMD,OPRT,QA,ACTIVE
DSME,XCSE,SGMT,DK,ACTIVE
DSTO,XSTO,SGMT,SE,ACTIVE
DUMX,DUMX,OPRT,AE,ACTIVE
DUSA,XDUS,SGMT,DE,ACTIVE
DUSB,XDUS,SGMT,DE,ACTIVE
DUSC,XDUS,SGMT,DE,ACTIVE
DUSD,XDUS,SGMT,DE,ACTIVE
DVFX,DVFX,OPRT,GB,ACTIVE
DWFI,DWFI,OPRT,US,ACTIVE
DWIN,DWIN,OPRT,US,ACTIVE
DWSF,TRWB,SGMT,US,ACTIVE
DZBK,DZBK,OPRT,DE,ACTIVE
EACM,XMTS,SGMT,GB,EXPIRED
EBHU,EBHU,OPRT,HU,ACTIVE
EBLX,XIGG,SGMT,DE,ACTIVE
EBMX,MTSO,SGMT,IT,ACTIVE
EBON,XSTO,SGMT,SE,ACTIVE
EBRA,XBRA,SGMT,SK,ACTIVE
EBSC,EBSS,SGMT,CH,ACTIVE
EBSD,EBSN,SGMT,NL,EXPIRED
EBSF,EBSN,SGMT,NL,ACTIVE
EBSI,EBSN,SGMT,NL,EXPIRED
EBSM,BTEE,SGMT,GB,EXPIRED
EBSN,EBSN,OPRT,NL,ACTIVE
EBSO,XEBS,SGMT,GB,ACTIVE
EBSS,EBSS,OPRT,CH,ACTIVE
EBSX,BTEE,SGMT,GB,EXPIRED
EBXV,LEVL,SGMT,US,ACTIVE
ECAG,ECAG,OPRT,DE,ACTIVE
ECAL,ECAL,OPRT,SG,ACTIVE
ECEU,ECEU,OPRT,NL,ACTIVE
ECGS,ECAG,SGMT,DE,ACTIVE
ECHO,ECHO,OPRT,GB,ACTIVE
ECNL,RTSL,SGMT,GB,ACTIVE
ECSL,ECSL,OPRT,GB,ACTIVE
ECXE,ECXE,OPRT,NL,EXPIRED
EDBT,XDUB,SGMT,IE,ACTIVE
EDDP,XCBO,SGMT,US,ACTIVE
EDGA,XCBO,SGMT,US,ACTIVE
EDGD,XCBO,SGMT,US,ACTIVE
EDGE,EDGE,OPRT,US,EXPIRED
EDGL,XDUB,SGMT,IE,ACTIVE
EDGO,XCBO,SGMT,US,ACTIVE
EDGX,XCBO,SGMT,US,ACTIVE
EDRF,EDRF,OPRT,FR,ACTIVE
EDXM,EDXM,OPRT,US,ACTIVE
EEAL,EEAL,OPRT,SG,ACTIVE
EESE,EESE,OPRT,UA,ACTIVE
EESX,EESX,OPRT,ZA,ACTIVE
EFTP,EFTP,OPRT,DE,EXPIRED
EGMT,EGMT,OPRT,US,ACTIVE
EGSI,EGSI,OPRT,AT,ACTIVE
EIXE,AQXE,SGMT,GB,ACTIVE
ELEU,NORX,SGMT,NO,ACTIVE
ELIX,TRDE,SGMT,GB,ACTIVE
ELNO,NORX,SGMT,NO,ACTIVE
ELSE,NORX,SGMT,NO,ACTIVE
ELUK,NORX,SGMT,NO,ACTIVE
ELXE,ELXE,OPRT,FR,ACTIVE
EM3S,XLUX,SGMT,LU,ACTIVE
EMBX,EMBX,OPRT,GB,ACTIVE
EMCE,XBRM,SGMT,RO,ACTIVE
EMCH,TRDE,SGMT,GB,EXPIRED
EMDR,EMID,SGMT,IT,EXPIRED
EMIB,EMID,SGMT,IT,EXPIRED
EMID,EMID,OPRT,IT,EXPIRED
EMIR,EMID,SGMT,IT,EXPIRED
EMLD,MIHI,SGMT,US,ACTIVE
EMTF,XLUX,SGMT,LU,ACTIVE
EMTS,XMTS,SGMT,GB,EXPIRED
ENAX,ASEX,SGMT,GR,ACTIVE
ENCL,ENCL,OPRT,GB,ACTIVE
ENMS,ENMS,OPRT,SG,ACTIVE
ENSL,ESLO,SGMT,FR,ACTIVE
ENSX,SEBS,SGMT,SE,EXPIRED
ENSY,XLDN,SGMT,GB,EXPIRED
ENTW,XIGG,SGMT,DE,ACTIVE
ENXB,XBRU,SGMT,BE,EXPIRED
ENXL,XLIS,SGMT,PT,ACTIVE
EOTC,EOTC,OPRT,HK,ACTIVE
EPEX,EPEX,OPRT,FR,ACTIVE
EPRD,MIHI,SGMT,US,ACTIVE
EPRL,MIHI,SGMT,US,ACTIVE
EQCA,EQCA,OPRT,CA,ACTIVE
EQIE,EQIE,OPRT,IE,ACTIVE
EQLD,EQLD,OPRT,GB,ACTIVE
EQOC,EQOS,SGMT,SG,ACTIVE
EQOD,EQOS,SGMT,SG,ACTIVE
EQOS,EQOS,OPRT,SG,ACTIVE
EQSE,EQIE,SGMT,IE,ACTIVE
EQSL,EQLD,SGMT,GB,ACTIVE
EQTA,XBER,SGMT,DE,ACTIVE
EQTB,XBER,SGMT,DE,ACTIVE
EQTC,XBER,SGMT,DE,ACTIVE
EQTD,XBER,SGMT,DE,ACTIVE
EQUS,EQUS,OPRT,US,ACTIVE
EQWB,XBRN,SGMT,CH,EXPIRED
ERBX,ERBX,OPRT,GR,ACTIVE
ERFQ,XIGG,SGMT,DE,ACTIVE
ERIS,ERIS,OPRT,US,EXPIRED
ERST,ERST,OPRT,HU,ACTIVE
ESLO,ESLO,OPRT,FR,ACTIVE
ESPD,XNAS,SGMT,US,EXPIRED
ESTO,XSTO,SGMT,SE,ACTIVE
ETFP,XMIL,SGMT,IT,ACTIVE
ETLX,XMIL,SGMT,IT,ACTIVE
ETOR,ETOR,OPRT,CY,ACTIVE
ETPA,ETPA,OPRT,NL,ACTIVE
ETSC,ETSC,OPRT,KZ,ACTIVE
EUAX,ASEX,SGMT,GR,EXPIRED
EUCC,EUCC,OPRT,IE,ACTIVE
EUCH,EUCH,OPRT,CH,EXPIRED
EUFN,EUFN,OPRT,BG,ACTIVE
EUOB,XSTO,SGMT,SE,ACTIVE
EURM,EUCH,SGMT,CH,EXPIRED
EUSC,EUCH,SGMT,CH,EXPIRED
EUSP,EUCH,SGMT,CH,EXPIRED
EUWA,EUWA,OPRT,DE,ACTIVE
EUWB,XSTO,SGMT,SE,ACTIVE
EUWX,XSTU,SGMT,DE,ACTIVE
EVOL,EVOL,OPRT,GB,ACTIVE
EWRM,TMEX,SGMT,TR,ACTIVE
EWSM,EWSM,OPRT,MT,EXPIRED
EXAA,XWBO,SGMT,AT,ACTIVE
EXBO,EXEU,SGMT,GB,ACTIVE
EXCP,EXEU,SGMT,GB,ACTIVE
EXDC,EXEU,SGMT,GB,ACTIVE
EXEU,EXEU,OPRT,GB,ACTIVE
EXGM,XMIL,SGMT,IT,ACTIVE
EXIX,EXIX,OPRT,US,ACTIVE
EXLP,EXEU,SGMT,GB,ACTIVE
EXMP,EXEU,SGMT,GB,ACTIVE
EXOR,EXEU,SGMT,GB,ACTIVE
EXOT,EXOT,OPRT,GB,ACTIVE
EXPA,MTAA,SGMT,IT,EXPIRED
EXPM,OTCM,SGMT,US,ACTIVE
EXSB,EXSY,SGMT,FR,EXPIRED
EXSD,EXSY,SGMT,FR,EXPIRED
EXSE,EXSE,OPRT,FR,ACTIVE
EXSF,EXSY,SGMT,FR,EXPIRED
EXSH,EXSY,SGMT,FR,EXPIRED
EXSI,EXEU,SGMT,GB,ACTIVE
EXSP,EXSY,SGMT,FR,EXPIRED
EXSY,EXSY,OPRT,FR,EXPIRED
EXTR,EXTR,OPRT,TR,ACTIVE
EXVP,EXEU,SGMT,GB,ACTIVE
EXYY,EXSY,SGMT,FR,EXPIRED
FAIR,FAIR,OPRT,GB,ACTIVE
FAST,FAST,OPRT,US,ACTIVE
FBSI,FBSI,OPRT,IT,ACTIVE
FCBT,XCBT,SGMT,US,ACTIVE
FCME,XCME,SGMT,US,ACTIVE
FGEX,FGEX,OPRT,FI,ACTIVE
FGML,FGML,OPRT,AE,ACTIVE
FGMP,FGML,SGMT,AE,ACTIVE
FICO,FICO,OPRT,US,ACTIVE
FICX,FICX,OPRT,DE,ACTIVE
FIED,XSTO,SGMT,SE,ACTIVE
FINC,FINR,SGMT,US,ACTIVE
FINN,FINR,SGMT,US,ACTIVE
FINO,FINR,SGMT,US,ACTIVE
FINR,FINR,OPRT,US,ACTIVE
FINY,FINR,SGMT,US,ACTIVE
FISH,FISH,OPRT,NO,ACTIVE
FISU,FISU,OPRT,GB,ACTIVE
FLTB,FLWX,SGMT,NL,ACTIVE
FLTR,FLWX,SGMT,NL,ACTIVE
FLWX,FLWX,OPRT,NL,ACTIVE
FMTS,FMTS,OPRT,FR,ACTIVE
FMXS,FMXS,OPRT,SG,ACTIVE
FMXX,FMXX,OPRT,US,ACTIVE
FNCS,BGCF,SGMT,US,ACTIVE
FNDF,FNDF,OPRT,SG,ACTIVE
FNDK,XCSE,SGMT,DK,ACTIVE
FNDS,INFT,SGMT,NO,ACTIVE
FNEE,XTAL,SGMT,EE,ACTIVE
FNFI,XHEL,SGMT,FI,ACTIVE
FNFT,BGCF,SGMT,US,ACTIVE
FNFX,BGCF,SGMT,US,ACTIVE
FNIS,XICE,SGMT,IS,ACTIVE
FNIX,GFAM,SGMT,US,ACTIVE
FNLT,XLIT,SGMT,LT,ACTIVE
FNLV,XRIS,SGMT,LV,ACTIVE
FNSE,XSTO,SGMT,SE,ACTIVE
FNUK,FNUK,OPRT,GB,ACTIVE
FNXB,BGCF,SGMT,US,ACTIVE
FPWB,FPWB,OPRT,AT,ACTIVE
FRAA,XFRA,SGMT,DE,ACTIVE
FRAB,XFRA,SGMT,DE,ACTIVE
FRAD,XFRA,SGMT,DE,EXPIRED
FRAS,XFRA,SGMT,DE,ACTIVE
FRAU,XFRA,SGMT,DE,ACTIVE
FRAV,XFRA,SGMT,DE,ACTIVE
FRAW,XFRA,SGMT,DE,ACTIVE
FREI,NORX,SGMT,NO,EXPIRED
FREX,FREX,OPRT,US,ACTIVE
FRRF,FRRF,OPRT,BE,EXPIRED
FRTE,FRTE,OPRT,GB,ACTIVE
FSEF,FSEF,OPRT,US,ACTIVE
FSHX,FSHX,OPRT,NO,ACTIVE
FSME,XHEL,SGMT,FI,ACTIVE
FTFM,FTFS,SGMT,CZ,ACTIVE
FTFS,FTFS,OPRT,CZ,ACTIVE
FTRM,TMEX,SGMT,TR,ACTIVE
FTUS,FTUS,OPRT,US,ACTIVE
FUSD,LEDG,SGMT,US,EXPIRED
FXAL,FXAL,OPRT,US,ACTIVE
FXCL,CDSL,SGMT,IN,ACTIVE
FXCM,FXCM,OPRT,US,ACTIVE
FXFM,RMTF,SGMT,IE,ACTIVE
FXGB,FXGB,OPRT,GB,ACTIVE
FXMT,FXMT,OPRT,GB,EXPIRED
FXNM,THRE,SGMT,US,ACTIVE
FXOP,FXOP,OPRT,GB,ACTIVE
FXPS,THRE,SGMT,US,ACTIVE
FXRQ,RMTF,SGMT,IE,ACTIVE
FXRS,RMTF,SGMT,IE,ACTIVE
FXSM,RTSP,SGMT,SG,ACTIVE
FXSW,CDSL,SGMT,IN,ACTIVE
G1XX,G1XX,OPRT,US,ACTIVE
G360,G360,OPRT,GB,ACTIVE
GARA,GARA,OPRT,CZ,ACTIVE
GATE,GATE,OPRT,MT,ACTIVE
GBOB,XSTO,SGMT,SE,ACTIVE
GBOT,GBOT,OPRT,MU,ACTIVE
GBSI,GBSI,OPRT,IE,ACTIVE
GBUL,XBUL,SGMT,BG,ACTIVE
GBWB,XSTO,SGMT,SE,ACTIVE
GEMX,GEMX,OPRT,GB,ACTIVE
GETB,GETB,OPRT,LT,ACTIVE
GFAM,GFAM,OPRT,US,ACTIVE
GFAU,GFAU,OPRT,AU,ACTIVE
GFBM,GFIB,SGMT,GB,ACTIVE
GFBO,GFIB,SGMT,GB,ACTIVE
GFEX,GFEX,OPRT,CN,ACTIVE
GFIA,GFIA,OPRT,GB,EXPIRED
GFIB,GFIB,OPRT,GB,ACTIVE
GFIC,GFIC,OPRT,GB,ACTIVE
GFIF,GFIC,SGMT,GB,ACTIVE
GFIM,GFIC,SGMT,GB,EXPIRED
GFIN,GFIC,SGMT,GB,ACTIVE
GFIR,GFIC,SGMT,GB,ACTIVE
GFKS,GFKS,OPRT,SE,ACTIVE
GFOX,GFOX,OPRT,GB,ACTIVE
GFPO,AURB,SGMT,FR,ACTIVE
GFSG,GFSG,OPRT,SG,ACTIVE
GFSM,GFIC,SGMT,GB,ACTIVE
GFSO,GFIC,SGMT,GB,ACTIVE
GIPB,GIPB,OPRT,FR,ACTIVE
GLBX,EBSS,SGMT,CH,ACTIVE
GLLC,GLLC,OPRT,US,ACTIVE
GLMX,GLMX,OPRT,US,ACTIVE
GLOM,GLOM,OPRT,AE,ACTIVE
GLPS,GLPS,OPRT,US,ACTIVE
GLPX,GLPX,OPRT,US,ACTIVE
GMBG,MBUL,SGMT,BG,ACTIVE
GMEG,GMEG,OPRT,GB,ACTIVE
GMEO,GMES,SGMT,FR,ACTIVE
GMES,GMES,OPRT,FR,ACTIVE
GMEX,GMEX,OPRT,DE,EXPIRED
GMGD,GMGD,OPRT,AE,ACTIVE
GMGE,GMGE,OPRT,NL,ACTIVE
GMGL,GMGL,OPRT,GB,ACTIVE
GMNI,XISX,SGMT,US,ACTIVE
GMTF,GMTF,OPRT,FR,ACTIVE
GMTS,XMTS,SGMT,GB,EXPIRED
GOTC,GOTC,OPRT,US,ACTIVE
GOVX,GOVX,OPRT,US,ACTIVE
GPBC,GPBC,OPRT,CY,ACTIVE
GREE,GREE,OPRT,US,ACTIVE
GRIF,GRIF,OPRT,GB,ACTIVE
GRIO,GRIF,SGMT,GB,ACTIVE
GROW,BMEX,SGMT,ES,ACTIVE
GRSE,GRSE,OPRT,GB,ACTIVE
GSAL,GSAL,OPRT,HK,ACTIVE
GSBE,GSBE,OPRT,DE,ACTIVE
GSBS,GSEF,SGMT,US,ACTIVE
GSBX,GSIL,SGMT,GB,EXPIRED
GSCI,GSCI,OPRT,GY,ACTIVE
GSCO,GSCO,OPRT,US,ACTIVE
GSEF,GSEF,OPRT,US,ACTIVE
GSEI,GSBE,SGMT,DE,ACTIVE
GSIB,GSIB,OPRT,GB,ACTIVE
GSIL,GSIL,OPRT,GB,ACTIVE
GSLO,GSLO,OPRT,GB,ACTIVE
GSPL,GSAL,SGMT,HK,ACTIVE
GSPX,GIPB,SGMT,FR,EXPIRED
GSSI,GSIL,SGMT,GB,ACTIVE
GSXC,GSXC,OPRT,CN,ACTIVE
GSXH,GSAL,SGMT,HK,ACTIVE
GSXK,GSXK,OPRT,KR,ACTIVE
GSXL,GSXL,OPRT,GI,ACTIVE
GSXM,GSAL,SGMT,HK,ACTIVE
GSXN,GSXN,OPRT,HK,ACTIVE
GSXT,GSXT,OPRT,TW,ACTIVE
GTCO,GTCO,OPRT,US,ACTIVE
GTSM,GTSM,OPRT,US,ACTIVE
GTSX,GTSX,OPRT,US,ACTIVE
GTXE,GTXE,OPRT,BM,ACTIVE
GTXS,GTXS,OPRT,US,EXPIRED
GXGF,GXGR,SGMT,DK,EXPIRED
GXGM,GXGR,SGMT,DK,EXPIRED
GXGR,GXGR,OPRT,DK,EXPIRED
GXIL,GXIL,OPRT,JP,ACTIVE
GXMA,GXMA,OPRT,VU,ACTIVE
HAMA,XHAM,SGMT,DE,ACTIVE
HAMB,XHAM,SGMT,DE,ACTIVE
HAML,XHAM,SGMT,DE,EXPIRED
HAMM,XHAM,SGMT,DE,ACTIVE
HAMN,XHAM,SGMT,DE,ACTIVE
HAMO,XHAM,SGMT,DE,ACTIVE
HAMP,XHAM,SGMT,DE,ACTIVE
HAMQ,XHAM,SGMT,DE,ACTIVE
HANA,XHAN,SGMT,DE,ACTIVE
HANB,XHAN,SGMT,DE,ACTIVE
HANC,XHAN,SGMT,DE,ACTIVE
HAND,XHAN,SGMT,DE,ACTIVE
HANE,XHAN,SGMT,DE,ACTIVE
HBFR,HBFR,OPRT,FR,ACTIVE
HBPL,HBPL,OPRT,PL,ACTIVE
HCER,HMTF,SGMT,IT,ACTIVE
HCHC,HCHC,OPRT,NL,ACTIVE
HDAT,HDAT,OPRT,GR,ACTIVE
HEDE,HEMO,SGMT,GR,ACTIVE
HEGX,HEGX,OPRT,US,ACTIVE
HELA,HELA,OPRT,DE,ACTIVE
HEMO,HEMO,OPRT,GR,ACTIVE
HESP,HEMO,SGMT,GR,ACTIVE
HGSP,HEMO,SGMT,GR,ACTIVE
HKME,HKME,OPRT,HK,EXPIRED
HMOD,HMTF,SGMT,IT,ACTIVE
HMTF,HMTF,OPRT,IT,ACTIVE
HOTC,ASEX,SGMT,GR,EXPIRED
HPCO,HPCX,SGMT,FR,ACTIVE
HPCS,HPCX,SGMT,FR,ACTIVE
HPCV,HPCX,SGMT,FR,ACTIVE
HPCX,HPCX,OPRT,FR,ACTIVE
HPPO,HPPO,OPRT,US,ACTIVE
HPSO,HPSX,SGMT,GB,ACTIVE
HPSX,HPSX,OPRT,GB,ACTIVE
HREU,HREU,OPRT,IE,ACTIVE
HRFQ,HMTF,SGMT,IT,ACTIVE
HRSI,HRSI,OPRT,GB,ACTIVE
HRTF,HRTF,OPRT,US,ACTIVE
HRTX,HRTX,OPRT,US,ACTIVE
HSBC,HSBC,OPRT,GB,ACTIVE
HSBT,HSBT,OPRT,DE,ACTIVE
HSFX,HSFX,OPRT,US,ACTIVE
HSTC,HSTC,OPRT,VN,ACTIVE
HSXA,HSXA,OPRT,HK,ACTIVE
HSXE,HSXE,OPRT,GB,EXPIRED
HUDX,HUDX,OPRT,HU,EXPIRED
HUNG,XMTS,SGMT,GB,EXPIRED
HUPX,HUPX,OPRT,HU,ACTIVE
HWHE,HWHE,OPRT,NO,ACTIVE
IATS,IBKR,SGMT,US,ACTIVE
IBAL,IBAL,OPRT,GB,ACTIVE
IBCO,IBCO,OPRT,US,ACTIVE
IBEQ,IBIS,SGMT,IT,ACTIVE
IBER,IBER,OPRT,ES,ACTIVE
IBEX,IBEX,OPRT,BG,ACTIVE
IBGH,IBGH,OPRT,ES,ACTIVE
IBIS,IBIS,OPRT,IT,ACTIVE
IBKR,IBKR,OPRT,US,ACTIVE
IBLX,XINS,SGMT,US,EXPIRED
IBSC,IBSC,OPRT,US,ACTIVE
IBSI,IBSI,OPRT,IE,ACTIVE
IBUL,XBUL,SGMT,BG,ACTIVE
ICAH,ICAP,SGMT,GB,EXPIRED
ICAP,ICAP,OPRT,GB,EXPIRED
ICAS,ICAS,OPRT,NO,EXPIRED
ICAT,ICAH,SGMT,GB,EXPIRED
ICBX,XINS,SGMT,US,ACTIVE
ICDX,ICDX,OPRT,ID,ACTIVE
ICEL,ICEL,OPRT,US,EXPIRED
ICEN,ICAP,SGMT,GB,EXPIRED
ICEO,ICEO,OPRT,GB,EXPIRED
ICES,ICES,OPRT,US,ACTIVE
ICEU,ICEU,OPRT,GB,EXPIRED
ICHK,NMRJ,SGMT,JP,ACTIVE
ICKR,NMRJ,SGMT,JP,ACTIVE
ICOD,ICOT,SGMT,FR,ACTIVE
ICOR,ICOT,SGMT,FR,ACTIVE
ICOT,ICOT,OPRT,FR,ACTIVE
ICPM,ICPM,OPRT,GB,ACTIVE
ICPS,ICPS,OPRT,SG,ACTIVE
ICRO,XINS,SGMT,US,ACTIVE
ICSE,ICAP,SGMT,GB,EXPIRED
ICSH,NMRJ,SGMT,JP,ACTIVE
ICSU,BTEC,SGMT,US,EXPIRED
ICSZ,NMRJ,SGMT,JP,ACTIVE
ICTQ,ICAP,SGMT,GB,EXPIRED
ICTW,NMRJ,SGMT,JP,ACTIVE
ICUR,ICUR,OPRT,IE,EXPIRED
ICUS,ICUS,OPRT,US,EXPIRED
ICXL,ICXL,OPRT,IN,EXPIRED
ICXR,ICUR,SGMT,IE,EXPIRED
IDXM,IDXM,OPRT,US,ACTIVE
IEBS,EBSN,SGMT,NL,ACTIVE
IECE,ICEO,SGMT,GB,EXPIRED
IECL,TPEO,SGMT,GB,ACTIVE
IENG,IENG,OPRT,PL,EXPIRED
IEOS,IBKR,SGMT,US,ACTIVE
IEPA,IFUS,SGMT,US,ACTIVE
IEXA,IEXA,OPRT,US,ACTIVE
IEXC,IEXG,SGMT,US,ACTIVE
IEXD,IEXG,SGMT,US,ACTIVE
IEXG,IEXG,OPRT,US,ACTIVE
IEXO,IEXG,SGMT,US,ACTIVE
IFAD,IFAD,OPRT,AE,ACTIVE
IFBX,IFBX,OPRT,IR,ACTIVE
IFCA,IFCA,OPRT,CA,EXPIRED
IFED,IFUS,SGMT,US,ACTIVE
IFEN,IFEU,SGMT,GB,ACTIVE
IFEU,IFEU,OPRT,GB,ACTIVE
IFFX,INFT,SGMT,NO,ACTIVE
IFLL,IFEU,SGMT,GB,ACTIVE
IFLO,IFEU,SGMT,GB,ACTIVE
IFLS,IFLS,OPRT,GB,ACTIVE
IFLX,IFEU,SGMT,GB,ACTIVE
IFSG,IFSG,OPRT,SG,ACTIVE
IFSM,XMAL,SGMT,MT,ACTIVE
IFUS,IFUS,OPRT,US,ACTIVE
IFUT,IFEU,SGMT,GB,ACTIVE
IFXA,IFXC,SGMT,IE,EXPIRED
IFXC,IFXC,OPRT,IE,EXPIRED
IFXR,IFXC,SGMT,IE,EXPIRED
IGDL,IGDL,OPRT,GB,ACTIVE
IIDX,XINS,SGMT,US,EXPIRED
IINX,IINX,OPRT,IN,ACTIVE
IKBS,IKBS,OPRT,DE,ACTIVE
ILCM,IOTF,SGMT,GB,ACTIVE
IMAG,IFUS,SGMT,US,ACTIVE
IMBD,IFUS,SGMT,US,ACTIVE
IMCC,IBSC,SGMT,US,ACTIVE
IMCD,ICPM,SGMT,GB,EXPIRED
IMCE,ICPM,SGMT,GB,ACTIVE
IMCG,IFUS,SGMT,US,ACTIVE
IMCM,ICPM,SGMT,GB,EXPIRED
IMCO,NDEX,SGMT,NL,ACTIVE
IMCR,IFUS,SGMT,US,ACTIVE
IMCS,IMCS,OPRT,US,ACTIVE
IMCT,IMCT,OPRT,NL,ACTIVE
IMED,ICPM,SGMT,GB,ACTIVE
IMEN,IFUS,SGMT,US,ACTIVE
IMEQ,NDEX,SGMT,NL,ACTIVE
IMET,ICPM,SGMT,GB,ACTIVE
IMEX,IMEX,OPRT,IR,ACTIVE
IMFD,ICPM,SGMT,GB,ACTIVE
IMFX,IFUS,SGMT,US,ACTIVE
IMGB,ICPM,SGMT,GB,ACTIVE
IMGI,ICPM,SGMT,GB,ACTIVE
IMIR,IFUS,SGMT,US,ACTIVE
IMMH,IMMH,OPRT,IT,ACTIVE
IMMM,ICPM,SGMT,GB,ACTIVE
IMRD,ICPM,SGMT,GB,ACTIVE
IMSB,ICPM,SGMT,GB,ACTIVE
IMTF,IMTF,OPRT,GB,ACTIVE
IMTS,XMTS,SGMT,GB,EXPIRED
INCA,XINS,SGMT,US,ACTIVE
INCR,INCR,OPRT,US,ACTIVE
INFT,INFT,OPRT,NO,ACTIVE
INGB,INGB,OPRT,NL,ACTIVE
INGE,INGB,SGMT,NL,ACTIVE
INGF,INGB,SGMT,NL,EXPIRED
INGS,INGB,SGMT,NL,ACTIVE
INGU,INGU,OPRT,GB,ACTIVE
INGW,INGW,OPRT,PL,ACTIVE
INSE,XNSE,SGMT,IN,ACTIVE
INSR,INCR,SGMT,US,ACTIVE
INTL,INTL,OPRT,US,ACTIVE
INVE,INVE,OPRT,GB,ACTIVE
IOCD,IOTF,SGMT,GB,ACTIVE
IOED,IOTF,SGMT,GB,ACTIVE
IOFB,IOTF,SGMT,GB,EXPIRED
IOFI,IOTF,SGMT,GB,ACTIVE
IOFX,IOTF,SGMT,GB,ACTIVE
IOGB,IOTF,SGMT,GB,ACTIVE
IOGI,IOTF,SGMT,GB,ACTIVE
IOIR,IOTF,SGMT,GB,ACTIVE
IOMM,IOTF,SGMT,GB,ACTIVE
IOTC,XIEL,SGMT,GB,ACTIVE
IOTF,IOTF,OPRT,GB,ACTIVE
IPNL,IPNL,OPRT,NL,EXPIRED
IPSX,IPSX,OPRT,GB,EXPIRED
IPXP,IPSX,SGMT,GB,EXPIRED
IPXW,IPSX,SGMT,GB,EXPIRED
ISBA,ISBA,OPRT,IT,ACTIVE
ISBV,ISBV,OPRT,IT,EXPIRED
ISDA,ISDA,OPRT,US,ACTIVE
ISDX,ICAP,SGMT,GB,EXPIRED
ISEC,XICE,SGMT,IS,EXPIRED
ISEX,ISEX,OPRT,IN,ACTIVE
ISSI,ISSI,OPRT,GB,ACTIVE
ISWA,ISWA,OPRT,GB,ACTIVE
ISWB,ISWA,SGMT,GB,ACTIVE
